patient_id,failed_login_rate,request_rate,total_records_accessed,unique_endpoints,endpoint_discovery_count,suspicious_download_count,data_export_count,privilege_escalation_count,device_change_count,night_activity_count,error_rate,anomalous_event_count,unique_sessions,unique_devices,average_response_time_ms,behavior_class,is_anomalous
TRAIN_P1341,0.0441,0.0234,141,7,0,0,0,0,0,34,0.0192,0,4,1,311.54,NORMAL,0
TRAIN_P1602,0.0518,0.0153,204,8,0,0,0,0,0,35,0.0234,0,4,1,379.85,NORMAL,0
TRAIN_P3550,0.0502,0.0887,1160,14,5,2,1,8,3,37,0.0487,15,10,3,638.19,PRIVILEGE_ABUSE,1
TRAIN_P3576,0.1429,0.0893,1116,15,2,0,0,7,4,66,0.1,20,15,4,403.44,PRIVILEGE_ABUSE,1
TRAIN_P0212,0.0525,0.0244,126,9,0,0,0,0,0,40,0.015,0,2,1,449.41,NORMAL,0
TRAIN_P3516,0.1014,0.0828,1518,15,3,3,0,9,4,53,0.037,11,7,4,529.34,PRIVILEGE_ABUSE,1
TRAIN_P1466,0.0393,0.0196,74,11,0,0,0,0,1,22,0.0145,0,4,1,505.17,NORMAL,0
TRAIN_P0135,0.0503,0.0187,179,9,0,0,0,0,0,20,0.019,0,4,1,328.34,NORMAL,0
TRAIN_P2678,0.0562,0.0635,386,14,7,0,0,0,0,45,0.0655,10,5,2,466.42,RECONNAISSANCE,1
TRAIN_P1743,0.0494,0.0207,194,8,1,0,0,0,0,27,0.0093,0,5,1,370.32,NORMAL,0
TRAIN_P2317,0.5253,0.0637,223,10,1,0,0,0,0,50,0.2209,12,2,2,200.0,BRUTE_FORCE,1
TRAIN_P0027,0.011,0.013,121,8,0,0,0,0,0,24,0.01,0,3,1,376.14,NORMAL,0
TRAIN_P0930,0.0235,0.014,200,5,0,0,0,0,0,36,0.017,0,4,1,343.15,NORMAL,0
TRAIN_P0033,0.035,0.0249,175,11,0,0,0,0,0,33,0.0062,0,5,1,369.03,NORMAL,0
TRAIN_P0316,0.0724,0.0194,111,7,1,0,0,0,0,32,0.026,0,5,1,346.79,NORMAL,0
TRAIN_P2708,0.0814,0.0667,361,17,4,0,0,0,2,53,0.1255,8,5,2,386.94,RECONNAISSANCE,1
TRAIN_P2888,0.0394,0.0887,2735,11,2,1,0,0,2,44,0.0391,25,9,3,556.87,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P1510,0.045,0.016,137,8,0,0,0,0,0,18,0.0142,0,4,1,384.59,NORMAL,0
TRAIN_P0271,0.0435,0.0133,133,14,1,0,0,0,0,24,0.0146,0,2,1,389.57,NORMAL,0
TRAIN_P1966,0.0378,0.0108,184,8,0,0,0,0,1,17,0.0225,0,5,1,247.76,NORMAL,0
TRAIN_P0880,0.0351,0.0144,130,7,0,0,0,0,0,23,0.0107,1,4,1,351.14,NORMAL,0
TRAIN_P1925,0.0332,0.0266,149,9,0,0,0,0,0,17,0.0156,0,3,1,428.3,NORMAL,0
TRAIN_P1058,0.0673,0.0216,114,9,0,0,0,0,0,30,0.0208,0,5,2,341.58,NORMAL,0
