failed_logins,requests_per_minute,records_accessed,unique_endpoints,session_duration_min,device_changes,error_rate,unusual_access_time,endpoint_enumeration,attack_label
0,11,3,3,54,0,0.005,0,0,benign
0,7,5,4,39,0,0.012,0,0,benign
14,213,50,38,3,4,0.421,1,1,suspicious_data_access
15,345,103,38,2,2,0.43,1,1,suspicious_data_access
0,5,3,1,18,0,0.0,0,0,benign
12,197,98,36,2,2,0.294,0,1,suspicious_data_access
0,17,2,3,28,0,0.013,0,0,benign
0,8,2,1,35,0,0.006,0,0,benign
54,90,4,4,9,1,0.75,1,0,brute_force
0,10,2,2,21,0,0.003,0,0,benign
3,123,22,19,12,1,0.194,0,1,reconnaissance
0,15,3,4,47,0,0.014,1,0,benign
0,13,1,4,29,0,0.015,0,0,benign
0,18,4,4,34,0,0.024,0,0,benign
1,9,1,6,12,0,0.001,0,0,benign
42,32,5,10,9,2,0.596,1,0,brute_force
45,27,8,7,10,2,0.508,0,0,brute_force
1,10,3,3,36,0,0.016,0,0,benign
0,23,3,6,27,0,0.018,0,0,benign
4,126,9,18,19,1,0.166,0,1,reconnaissance
1,22,1,5,19,0,0.01,0,0,benign
12,153,19,17,15,1,0.208,1,1,reconnaissance
0,8,3,4,26,0,0.025,0,0,benign
8,74,33,25,15,2,0.169,0,1,reconnaissance
0,20,4,2,39,0,0.014,0,0,benign
2,15,4,5,32,0,0.009,0,0,benign
0,17,2,2,23,0,0.009,0,0,benign
0,10,3,4,44,0,0.002,0,0,benign
57,55,15,8,4,1,0.457,1,1,brute_force
55,41,15,4,9,2,0.418,0,0,brute_force
0,3,3,4,36,0,0.001,0,0,benign
12,111,23,26,18,2,0.297,1,1,reconnaissance
0,9,4,4,35,0,0.001,0,0,benign
48,25,11,8,3,0,0.382,1,0,brute_force
27,44,8,8,8,0,0.502,0,0,brute_force
3,174,8,12,13,2,0.214,1,1,reconnaissance
0,9,1,4,36,1,0.022,0,0,benign
1,9,5,1,33,0,0.023,0,0,benign
0,5,4,4,47,0,0.016,0,0,benign
2,10,1,4,28,0,0.005,0,0,benign
62,38,10,6,11,0,0.571,1,0,brute_force
26,35,4,5,10,1,0.658,1,0,brute_force
38,90,7,10,10,0,0.643,1,0,brute_force
1,7,2,5,19,0,0.029,0,0,benign
0,3,4,3,19,0,0.015,0,0,benign
0,12,2,3,40,0,0.004,0,0,benign
0,18,3,2,25,0,0.02,0,0,benign
0,17,4,2,21,0,0.003,0,0,benign
7,156,29,13,15,2,0.272,1,1,reconnaissance
38,68,11,7,3,1,0.652,1,0,brute_force
3,132,18,15,17,1,0.178,1,1,reconnaissance
0,18,3,1,30,0,0.015,0,0,benign
0,9,2,3,22,0,0.018,0,0,benign
0,8,3,1,30,0,0.008,0,0,benign
9,87,17,25,20,1,0.08,1,1,reconnaissance
10,320,120,23,4,4,0.283,1,1,suspicious_data_access
0,8,2,3,26,0,0.001,0,0,benign
0,19,2,1,18,1,0.004,0,0,benign
0,8,5,3,26,0,0.012,0,0,benign
0,9,5,2,28,0,0.003,0,0,benign
0,19,1,4,28,0,0.007,0,0,benign
42,58,12,4,6,1,0.516,1,1,brute_force
0,18,1,3,21,0,0.033,0,0,benign
1,9,5,1,29,0,0.007,1,0,benign
1,14,1,3,27,0,0.019,0,0,benign
1,11,1,3,41,0,0.001,0,0,benign
1,11,1,1,27,0,0.003,0,0,benign
0,3,5,2,55,0,0.032,0,0,benign
46,25,19,7,9,1,0.372,1,0,brute_force
4,354,132,28,7,2,0.244,0,1,suspicious_data_access
0,8,5,1,58,0,0.001,0,0,benign
0,8,4,2,26,1,0.005,0,0,benign
0,14,5,3,12,0,0.013,0,0,benign
8,159,10,16,14,1,0.158,1,1,reconnaissance
39,44,9,5,8,2,0.51,1,1,brute_force
0,12,3,3,16,0,0.0,0,0,benign
0,12,1,1,37,0,0.005,0,0,benign
6,293,68,36,4,4,0.309,1,1,suspicious_data_access
0,16,1,1,32,0,0.001,1,0,benign
0,10,1,3,18,0,0.006,1,0,benign
0,3,4,4,29,0,0.025,0,0,benign
0,16,1,5,19,0,0.015,0,0,benign
8,81,16,30,12,1,0.164,1,1,reconnaissance
3,112,10,19,11,1,0.195,1,1,reconnaissance
2,3,1,3,41,0,0.004,0,0,benign
43,69,13,3,9,1,0.503,1,0,brute_force
58,58,10,7,7,2,0.391,1,1,brute_force
6,113,22,13,8,1,0.205,1,1,reconnaissance
4,165,27,10,12,1,0.151,0,1,reconnaissance
2,4,3,5,27,0,0.006,0,0,benign
0,17,3,6,39,0,0.011,0,0,benign
